关卡id	星级对应时间范围	星级对应金币奖励	总时间	说明
int	array[array[int]]	array[array[int]]	int	string
id	star	rewards	alltime	instruction
1	[[0,20],[21,40],[41,99999]]	[[100000,90],[100000,60],[100000,30]]	60	""
2	[[0,20],[21,40],[41,99999]]	[[100000,90],[100000,60],[100000,30]]	60	""
3	[[0,20],[21,40],[41,99999]]	[[100000,90],[100000,60],[100000,30]]	60	""
4	[[0,20],[21,40],[41,99999]]	[[100000,90],[100000,60],[100000,30]]	60	""
5	[[0,20],[21,40],[41,99999]]	[[100000,90],[100000,60],[100000,30]]	60	""
6	[[0,20],[21,40],[41,99999]]	[[100000,90],[100000,60],[100000,30]]	60	""
7	[[0,20],[21,40],[41,99999]]	[[100000,90],[100000,60],[100000,30]]	60	""
8	[[0,20],[21,40],[41,99999]]	[[100000,90],[100000,60],[100000,30]]	60	""
9	[[0,20],[21,40],[41,99999]]	[[100000,90],[100000,60],[100000,30]]	60	""
10	[[0,20],[21,40],[41,99999]]	[[100000,90],[100000,60],[100000,30]]	60	""
11	[[0,20],[21,40],[41,99999]]	[[100000,90],[100000,60],[100000,30]]	60	""
12	[[0,20],[21,40],[41,99999]]	[[100000,90],[100000,60],[100000,30]]	60	""
