关卡id	道具a掉落概率	道具a掉落条件	道具a概率每次递减	道具a掉落条件递增	道具b掉落概率	道具b掉落条件	道具b概率每次递减	道具b掉落条件递增	道具c掉落条件	道具c掉落条件	道具c概率每次递减	道具c掉落条件递增	说明
int	int	int	int	int	int	int	int	int	int	int	int	int	string
id	propaweight	dropacondition	asubweight	aaddcondition	propbweight	dropbcondition	bsubweight	baddcondition	propcweight	dropccondition	csubweight	caddcondition	instruction
1	60	3	5	1	60	3	5	1	60	3	5	1	""
2	60	3	5	1	60	3	5	1	60	3	5	1	""
3	60	3	5	1	60	3	5	1	60	3	5	1	""
4	60	3	5	1	60	3	5	1	60	3	5	1	""
5	60	3	5	1	60	3	5	1	60	3	5	1	""
6	60	3	5	1	60	3	5	1	60	3	5	1	""
7	60	3	5	1	60	3	5	1	60	3	5	1	""
8	60	3	5	1	60	3	5	1	60	3	5	1	""
9	60	3	5	1	60	3	5	1	60	3	5	1	""
10	60	3	5	1	60	3	5	1	60	3	5	1	""
