唯一id	星级对应金币奖励
int	array[array[int]]
id	rewards
1	[[120001,10],[100000,100]]
2	[[100000,99]]
3	[[100000,98]]
4	[[100000,99]]
5	[[100000,99]]
6	[[100000,99]]
7	[[100000,99]]
8	[[100000,99]]
9	[[100000,99]]
10	[[100000,99]]
11	[[100000,99]]
12	[[100000,99]]
13	[[100000,99]]
14	[[100000,99]]
15	[[100000,99]]
16	[[100000,99]]
17	[[100000,99]]
18	[[100000,99]]
19	[[100000,99]]
20	[[100000,99]]
21	[[100000,99]]
22	[[100000,99]]
23	[[100000,99]]
24	[[100000,99]]
25	[[100000,99]]
26	[[100000,99]]
27	[[100000,99]]
28	[[100000,99]]
29	[[100000,99]]
30	[[100000,99]]
31	[[100000,99]]
32	[[100000,99]]
33	[[100000,99]]
34	[[100000,99]]
35	[[100000,99]]
36	[[100000,99]]
37	[[100000,99]]
38	[[100000,99]]
39	[[100000,99]]
40	[[100000,99]]
41	[[100000,99]]
42	[[100000,99]]
43	[[100000,99]]
44	[[100000,99]]
45	[[100000,99]]
46	[[100000,99]]
47	[[100000,99]]
48	[[100000,99]]
49	[[100000,99]]
50	[[100000,99]]
51	[[100000,99]]
52	[[100000,99]]
53	[[100000,99]]
54	[[100000,99]]
55	[[100000,99]]
56	[[100000,99]]
57	[[100000,99]]
58	[[100000,99]]
59	[[100000,99]]
60	[[100000,99]]
61	[[100000,99]]
62	[[100000,99]]
63	[[100000,99]]
64	[[100000,99]]
65	[[100000,99]]
66	[[100000,99]]
67	[[100000,99]]
68	[[100000,99]]
69	[[100000,99]]
70	[[100000,99]]
71	[[100000,99]]
72	[[100000,99]]
73	[[100000,99]]
74	[[100000,99]]
75	[[100000,99]]
76	[[100000,99]]
77	[[100000,99]]
78	[[100000,99]]
79	[[100000,99]]
80	[[100000,99]]
81	[[100000,99]]
82	[[100000,99]]
83	[[100000,99]]
84	[[100000,99]]
85	[[100000,99]]
86	[[100000,99]]
87	[[100000,99]]
88	[[100000,99]]
89	[[100000,99]]
90	[[100000,99]]
91	[[100000,99]]
92	[[100000,99]]
93	[[100000,99]]
94	[[100000,99]]
95	[[100000,99]]
96	[[100000,99]]
97	[[100000,99]]
98	[[100000,3]]
99	[[100000,2]]
100	[[100000,1]]
