唯一id	展示名称	消耗道具	消耗数量	道具类型	道具数量	图标	限购
int	string	array[int]	array[int]	array[int]	array[int]	string	int
id	name	costid	costnum	proptype	propnum	icon	limit
300001	"1挡板50次"	[100000]	[1000]	[120001]	[50]	""	0
300002	"2挡板50次"	[100000]	[1000]	[120002]	[50]	""	0
300003	"3挡板50次"	[100000]	[1000]	[120003]	[50]	""	0
300004	"4挡板50次"	[100000]	[1000]	[120004]	[50]	""	0
300005	"5挡板50次"	[100000]	[1000]	[120005]	[50]	""	0
300006	"6挡板50次"	[100000]	[1000]	[120006]	[50]	""	0
300007	"7挡板50次"	[100000]	[1000]	[120007]	[50]	""	0
300008	"8挡板50次"	[100000]	[1000]	[120008]	[50]	""	0
300009	"9挡板50次"	[100000]	[1000]	[120009]	[50]	""	0
300010	"10挡板50次"	[100000]	[1000]	[120010]	[50]	""	0
400001	"原始球3分身"	[100000]	[1000]	[100001]	[50]	""	0
400002	"所有球方向加90度"	[100000]	[1000]	[100001]	[50]	""	0
400003	"铁墙可穿透20秒"	[100000]	[1000]	[100001]	[50]	""	0
500001	"看广告获得金币"	[]	[]	[100000]	[1000]	""	50
